fecha,cobro
2015-01-02,2013895.14692
2015-01-03,1337930.81769
2015-01-04,802940.35
2015-01-05,2445504.13077
2015-01-06,1972786.66692
2015-01-07,1936184.38538
2015-01-08,1771173.44923
2015-01-09,1812427.98615
2015-01-10,1297003.48538
2015-01-11,846046.876154
2015-01-12,2302606.63846
2015-01-13,1989715.10231
2015-01-14,1804025.60385
2015-01-15,1671764.88231
2015-01-16,1693978.06692
2015-01-17,1109297.46308
2015-01-18,804004.018462
2015-01-19,2241226.38308
2015-01-20,1915237.07385
2015-01-21,1847024.57923
2015-01-22,1828129.52385
2015-01-23,1907312.17692
2015-01-24,1223657.67077
2015-01-25,809478.61
2015-01-26,2737507.24
2015-01-27,2336000.52462
2015-01-28,2481410.05538
2015-01-29,2042206.75077
2015-01-30,2162566.51
2015-01-31,1225857.69077
2015-02-01,802970.967692
2015-02-02,2453895.31846
2015-02-03,1958582.34077
2015-02-04,1861407.60154
2015-02-05,1626963.99231
2015-02-06,1883553.45923
2015-02-07,1324547.99231
2015-02-08,800641.77
2015-02-09,2289821.05769
2015-02-10,1824532.48538
2015-02-11,1694234.29692
2015-02-12,1633505.05308
2015-02-13,1577550.06692
2015-02-14,1170846.22
2015-02-15,800838.179231
2015-02-16,2137186.93615
2015-02-17,1696006.26077
2015-02-18,1707659.36538
2015-02-19,1729059.33846
2015-02-20,1871097.76615
2015-02-21,1293643.75154
2015-02-22,801322.106923
2015-02-23,2424472.43231
2015-02-24,2558471.79769
2015-02-25,2503307.48846
2015-02-26,2120131.29462
2015-02-27,2257484.23231
2015-02-28,1289207.93077
2015-03-01,800292.846154
2015-03-02,2496403.36615
2015-03-03,1937359.28462
2015-03-04,1882030.35923
2015-03-05,1630106.72846
2015-03-06,1690490.76231
2015-03-07,1221264.08
2015-03-08,820386.462308
2015-03-09,2275067.32692
2015-03-10,1986288.26462
2015-03-11,1822361.66846
2015-03-12,1729319.46769
2015-03-13,1668528.08538
2015-03-14,1225401.35692
2015-03-15,800516.049231
2015-03-16,2172664.66846
2015-03-17,1688669.59462
2015-03-18,1609310.41308
2015-03-19,1668062.50769
2015-03-20,1891054.47
2015-03-21,1324850.65615
2015-03-22,800310.556154
2015-03-23,2558936.54615
2015-03-24,2079671.51154
2015-03-25,2347501.57
2015-03-26,1753049.93846
2015-03-27,1580300.36923
2015-03-28,1174123.02308
2015-03-29,1051232.46077
2015-03-30,3605944.79
2015-03-31,1941681.92538
2015-04-01,1808368.42154
2015-04-02,1667198.61308
2015-04-03,1673584.17692
2015-04-04,1251728.97846
2015-04-05,800262.87
2015-04-06,2165477.96923
2015-04-07,1887740.49692
2015-04-08,1839806.52
2015-04-09,1705942.53308
2015-04-10,1812492.10154
2015-04-11,1333600.51692
2015-04-12,801439.64
2015-04-13,2094902.60538
2015-04-14,1754683.31154
2015-04-15,1437512.63231
2015-04-16,1547622.05
2015-04-17,1590450.27
2015-04-18,871770.184615
2015-04-19,932691.053846
2015-04-20,2203139.73385
