fecha,cobro
2015-01-02,2013895.14692
2015-01-03,1513681.54329
2015-01-04,987733.060256
2015-01-05,2066483.65244
2015-01-06,1997147.88316
2015-01-07,1952034.89481
2015-01-08,1818197.42508
2015-01-09,1813928.04027
2015-01-10,1431403.86966
2015-01-11,998239.694464
2015-01-12,1963471.23302
2015-01-13,1982891.69629
2015-01-14,1850530.78788
2015-01-15,1718244.01776
2015-01-16,1700287.21414
2015-01-17,1262954.79835
2015-01-18,923331.221233
2015-01-19,1898573.641
2015-01-20,1910904.58131
2015-01-21,1863633.37977
2015-01-22,1837360.52639
2015-01-23,1889124.74778
2015-01-24,1396679.11079
2015-01-25,962150.740206
2015-01-26,2275914.55005
2015-01-27,2320378.17123
2015-01-28,2439541.7655
2015-01-29,2145513.8546
2015-01-30,2158132.8196
2015-01-31,1468249.22426
2015-02-01,975943.314401
2015-02-02,2069627.79741
2015-02-03,1987454.15949
2015-02-04,1894179.70661
2015-02-05,1696440.07803
2015-02-06,1834903.98012
2015-02-07,1457240.54914
2015-02-08,971357.452576
2015-02-09,1947020.52036
2015-02-10,1856379.37448
2015-02-11,1736392.01709
2015-02-12,1660255.66372
2015-02-13,1599053.52209
2015-02-14,1282180.11854
2015-02-15,925987.083452
2015-02-16,1822274.97445
2015-02-17,1728836.12633
2015-02-18,1713165.32323
2015-02-19,1724926.8945
2015-02-20,1833093.33952
2015-02-21,1433900.64441
2015-02-22,965792.526671
2015-02-23,2045215.65684
2015-02-24,2425025.20107
2015-02-25,2482954.09374
2015-02-26,2214465.22239
2015-02-27,2246299.28973
2015-02-28,1538051.6841
2015-03-01,992110.144019
2015-03-02,2105287.1284
2015-03-03,1981020.524
2015-03-04,1907767.80207
2015-03-05,1702298.6076
2015-03-06,1693560.80208
2015-03-07,1344061.22774
2015-03-08,956541.901321
2015-03-09,1932250.71627
2015-03-10,1972238.50204
2015-03-11,1861329.64519
2015-03-12,1763642.11384
2015-03-13,1693257.73278
2015-03-14,1347044.01465
2015-03-15,942613.320239
2015-03-16,1852851.31792
2015-03-17,1731356.84268
2015-03-18,1641042.48477
2015-03-19,1661037.30173
2015-03-20,1831250.00625
2015-03-21,1456514.48718
2015-03-22,970923.57822
2015-03-23,2146053.17449
2015-03-24,2096930.74391
2015-03-25,2282353.15522
2015-03-26,1890668.77482
2015-03-27,1660996.15468
2015-03-28,1300710.03729
2015-03-29,1116096.63067
2015-03-30,2958584.26857
2015-03-31,2206076.53461
2015-04-01,1911772.53094
2015-04-02,1730787.83172
2015-04-03,1688457.12717
2015-04-04,1365278.29713
2015-04-05,947166.881053
2015-04-06,1848717.0863
2015-04-07,1877594.41016
2015-04-08,1849631.37144
2015-04-09,1743301.63105
2015-04-10,1794502.57921
2015-04-11,1453435.05312
2015-04-12,970958.447411
2015-04-13,1802677.12431
2015-04-14,1767161.70286
2015-04-15,1523221.39065
2015-04-16,1541277.87857
2015-04-17,1577665.44823
2015-04-18,1055302.95315
2015-04-19,964570.147666
2015-04-20,1881111.64144
2015-04-21,2012433.80101
2015-04-22,1965451.40518
2015-04-23,1844827.64955
2015-04-24,1868856.02367
2015-04-25,1403492.66268
2015-04-26,983783.161834
2015-04-27,2084530.02743
2015-04-28,2292369.06259
2015-04-29,2252560.66277
2015-04-30,1455646.26798
2015-05-01,1859586.82315
2015-05-02,1438553.78016
2015-05-03,966497.439395
2015-05-04,1955080.1701
2015-05-05,1891573.98593
2015-05-06,1907841.8057
2015-05-07,1880916.70794
2015-05-08,1765492.14473
2015-05-09,1400983.03971
2015-05-10,956641.969939
2015-05-11,2022310.22075
2015-05-12,2007203.47938
2015-05-13,1885259.59593
2015-05-14,1795386.1538
2015-05-15,1771960.78727
2015-05-16,1340293.41184
2015-05-17,941404.614233
2015-05-18,1835109.90522
2015-05-19,1861349.75319
2015-05-20,1755655.30663
2015-05-21,1868591.00795
2015-05-22,1840335.55531
2015-05-23,1433333.59892
2015-05-24,965601.096719
2015-05-25,2193199.76055
2015-05-26,2120424.67417
2015-05-27,1927110.27585
2015-05-28,1825363.96014
2015-05-29,2359473.87274
2015-05-30,1571197.4513
2015-05-31,1000844.06183
2015-06-01,1673286.40712
2015-06-02,1721756.73884
2015-06-03,1772076.41581
2015-06-04,1708234.21846
2015-06-05,1690644.87157
2015-06-06,1357877.90096
2015-06-07,947280.78985
2015-06-08,1886388.09361
2015-06-09,1910395.58021
2015-06-10,1717746.2917
2015-06-11,1629751.75483
2015-06-12,1575405.00255
2015-06-13,1313425.74359
2015-06-14,934252.178948
2015-06-15,1797195.19626
2015-06-16,1689196.23658
2015-06-17,1719546.26042
2015-06-18,1646809.58299
2015-06-19,1672896.49453
2015-06-20,1370727.49484
2015-06-21,953100.899427
2015-06-22,1889792.26288
2015-06-23,1997068.20335
2015-06-24,2070416.37358
2015-06-25,1996409.99839
2015-06-26,2549083.59214
2015-06-27,1680078.37448
2015-06-28,1265935.96118
2015-06-29,1501521.60778
2015-06-30,1868172.45652
2015-07-01,1940816.96694
2015-07-02,1890565.44937
2015-07-03,1808871.88614
2015-07-04,1427100.21263
2015-07-05,826910.532206
2015-07-06,1802258.30164
2015-07-07,1864965.4069
2015-07-08,1831460.40415
2015-07-09,1833056.74502
2015-07-10,1846879.31857
2015-07-11,1407756.96986
2015-07-12,821433.304471
2015-07-13,1817678.50089
2015-07-14,1819634.30941
2015-07-15,1731870.95991
2015-07-16,1674979.90968
